PRODUCT_ID,COMMODITY_LEAF,description,buy_line_id,price_line_id,keywords,product_family_id,product_family_description
110,899786,C-H DH262UGK 2P 60A 600V SFTY SW,CUTHAM,CUTHAM,"CHDH262UGK DH262UGK 782114 85884 2P
600V 60A C-H SFTY",,
111,899831,NSI IPL1/0-3 INSD M-CBL CONN BLOCK 1/BX,NSI,NSI,"NSIIPL103 IPL1/0-3 662381 91101 C
INSUL MULTI-TAP
PCSB2/0-3S-6Y",,
113,899840,NSI IPL104 IPL1/0-4 662381 91102 C 1/BX,NSI,NSI,"NSIIPL104 IPL1/0-4 662381 91102 C
INSUL MULTI-TAP",,
11909,900017,C-H CHQ220 2P 20A CIRCUIT BREAKER (PULL 1 UL CERTIFICATE PER BREAKER),CUTHAM,CUTHAM,"CHCHQ220 CHQ220 782113 01090 20A 2P
BREA C-H CIRCUIT
QO220
STK CUTHAM
WEBREADY",,
133,898855,CPL 2EP3GX2U6T8S33IUNVEB81 2X2 PARABOLIC 120/277V,COOPLTG,COOPLTG,"FXPARAB ALLFLUORESCENT
FXTROFFER
PARABOLIC
WEBREADY",JUSTICE*ALL,JUSTICE STORE PLANNING
134,899830,T&B 54174B 250MCM YEL 1H COP LUG 10/BX 100/CS,T&B,T&B,"TB54174B THOMAS & B 786210 23482
250 3/8 LUG T@B
WEBREADY",,
14699,899871,PVC 1-1/2 PVC SVC ENT CAP EF30 77285 5133695 E998H 5/BX,PVCFIT,PVCFIT,"PVCWH150 PVC FITTIN 980060 06612
1/2"" WEATHERHEAD
WEBREADY",,
146,899985,LEV CS320-2I 3WAY 20A 277V IV SW 10/BOX 100/CASE,LEVITON,LEVITON,"LEVCS3202I LEV 078477 81581 20A
277V 3WAY CS320-2I IV

STK LEVITON
WEBREADY",,
154,899877,ERC MPLS DRYWALL BRACKET 100/BX,CADDY,CADDY,"CADMPLS CADDY MPLS 782856 48635


STK CADDY
WEBREADY",,
156,899929,"KLEIN 646-5/16 NUT DRIVER CUSHION GRIP 6"" HOLLOW SHAFT 5/16"" HEX",KLEIN,KLEIN,"KLN646516 646-5/16 092644 65032
DRIVER KLEIN NUT


WEBREADY",,
162,899830,T&B 54174T 250MCM YEL 1H COP LUG 10/BX 100/CS,T&B,T&B,"TB54174T THOMAS & B 786210 23483
250 3/8 LUG T@B
STK T&B
WEBREADY",,
167,899985,LEV CS320-2W 3WAY 20A 277V WHT SW 10/BOX 100/CASE,LEVITON,LEVITON,"LEVCS3202W LEV CS320- 078477 81584
20A 277V 3WAY CS320-2W WHT

STK LEVITON
WEBREADY
SWITCH	SMCPARTS",,
186,899778,C-H PRL1A3225X30C 225A PNLBD INTR 208Y/120V INTERIOR DELISTED REPLACED BY: xPRL1X3225X30Cx,CUTHAM,CUTHAM,"CHPRL1A3225X30C CUTLER-HAM 786687
00942 208Y/120V 225A 30CKT 3PH C-H
INTERIOR
WEBREADY
POWREV",,
201,899752,STL-CTY 52C53-1-1/2 4SQ 2G TILE RNG -/BX 10/CS,NONRET,T&B,"STC52C53112 STL-CTY 52 785991 14055
CROUSEH TP540",,
205,899830,BUR YA28A5 4/0AWG ALCU 2H LUG,BURNDY,BURNDY,"BURYA28A5 YA28A5 781810 75450 2H
4/0AWG ALCU LUG
SMCPARTS",,
23084,899830,T&B 256-30695-926 COLOR KEYED-CU 2/0 NOTCHED TONGUE 10/BX 100/CS,T&B,T&B,"TB25630695926 TB 786210 07141
WEBREADY",,
206,899956, WIRE THHN-6-WHT-19STR-CU-5000MSTR,BWCU,BWCU,"THHN6WHT WIRE THHN- 980100 23164
THHN-6-WHT-19STR-CU-
THHN6MSTR
STK BWCU
WEBREADY",THHN 6 STRAND*ALL,THHN 6 STRANDED COPPER
4485,899830,T&B 54108UB 1AWG GRN 1H 90D COP LUG 20/BX 200/CS,T&B,T&B,"TB54108UB TB 786210 88691
WEBREADY",,
238,899906,3M 70-1X30FT SELF-FUSING TAPE 1/BX 24/CS,3M,3M,"3M701X30FT 70-1X30FT 054007 15603
SELF-FUSING TAPE
WEBREADY",,
8997,900017,C-H BAB2020 20A 2P CKT BRKR,CUTEXPSS,CUTHAM,"CHBAB2020 BAB2020 786679 30220
WEBREADY SMCPARTS
POWREV",,
252,899752,STL-CTY 3GC 13/16D3G GANGBOX SW RNG -/BX 5/CS,NONRET,T&B,STC3GC STL-CTY 3G 785991 12950,,
