COMMODITY CODE DESCRIPTION_Level 1,COMMODITY CODE_Level 1,COMMODITY CODE DESCRIPTION_Level 2,COMMODITY CODE_Level 2,COMMODITY CODE DESCRIPTION_Level 3,COMMODITY CODE_Level 3,COMMODITY CODE DESCRIPTION_Level 4,COMMODITY CODE_Level 4,COMMODITY_LEAF
Electrical Distribution,899719,Panelboards & Load Centers,899731,Main Lug Convertible Panels & Load Centers,899777,,,899777
Lighting,898795,Emergency Lighting,898801,Emergency Power,898821,Emergency Ballasts,898824,898824
Lighting,898795,Lamps,898804,HID Lamps,898879,Metal Halide Lamps,898910,898910
Data & Communication,901107,Unloaded Patch Panels,901158,,,,,901158
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,Liquid Tight Fittings,899864,,,899864
"Wiring Devices, Boxes & Plates",899718,Wall Plates & Covers,899995,Decorator Plates,899999,,,899999
Data & Communication,901107,Racks & Pathway,901145,Low Voltage Surface Raceway,901157,,,901157
Data & Communication,901107,Category 6,901136,6 Connectors,901150,,,901150
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,Cable Gland Connector,901161,,,901161
"Wire, Cords & Cables",899715,Copper Building Wire,899721,Copper XHHW,899958,,,899958
Underground Utility Products,901243,,,,,,,901243
"Wiring Devices, Boxes & Plates",899718,Wall Plates & Covers,899995,Data Plates,900003,,,900003
Lighting,898795,Indoor Lighting,898798,LED Panels,898850,LED Panel Accessories,898854,898854
"Wire Terminations, Connections & Grounding",899720,Grounding,899812,Exothermic Grounding,899825,,,899825
Lighting,898795,Lighting Parts & Accessories,898806,Lampholders,898807,Plug-In Lamp Holders,898809,898809
Lighting,898795,Lamps,898804,Incandescent Lamps,898880,Incandescent Specialty Lamps,898921,898921
Lighting,898795,Indoor Lighting,898798,Track Lighting,898856,Track Components,898859,898859
"Wire, Cords & Cables",899715,Copper Building Wire,899721,Copper MC Cable,899951,,,899951
"Wire, Cords & Cables",899715,Copper Building Wire,899721,Copper THHN/THWN,899956,,,899956
"Fittings, Hardware & Cable Management",899717,"Raceway Fittings, Boxes & Accessories",899974,,,,,899974
"Wiring Devices, Boxes & Plates",899718,Switches,899933,Combination Switches,901106,,,901106
Electrical Distribution,899719,Transformers,899734,Dry-Type Transformers,899790,,,899790
Lighting,898795,Outdoor Lighting,898800,Light Poles & Accessories,898869,,,898869
Tools & Equipment,899709,Hand Tools,899895,Knives & Scissors,899930,,,899930
Tools & Equipment,899709,"Fish Tape, Rod, & Accessories",899918,Steel Fish Tape,900036,,,900036
Tools & Equipment,899709,Hand Tools,899895,Strippers & Crimpers,899927,,,899927
"Wiring Devices, Boxes & Plates",899718,Switches,899933,Industrial Grade Switches,899990,,,899990
Heating & Ventilation,898953,Electric Heaters & Accessories,898954,,,,,898954
"Wiring Devices, Boxes & Plates",899718,Plugs & Connectors,900006,Twist Lock Connectors,900008,,,900008
Electrical Distribution,899719,Circuit Breakers,899732,Main Breaker Kits,899784,,,899784
"Wire, Cords & Cables",899715,Aluminum Building Wire,899722,Aluminum XHHW,899947,,,899947
Lighting,898795,Lamps,898804,Fluorescent Lamps,898878,Fluorescent Compact Lamps,898909,898909
"Wire, Cords & Cables",899715,Copper Building Wire,899721,Copper TFFN/TFN/MTW,899955,,,899955
Data & Communication,901107,Category 5e,901135,5e Connectors,901141,,,901141
Data & Communication,901107,Category 5e,901135,5e Patch Cords,901143,,,901143
Lighting,898795,Indoor Lighting,898798,Downlighting,898836,Downlight Trims,898838,898838
Lighting,898795,Lighting Parts & Accessories,898806,Lampholders,898807,Linear Lamp Holders,898808,898808
Lighting,898795,Lighting Controls,898803,Occupancy Sensors,898870,,,898870
Tools & Equipment,899709,Hand Tools,899895,"Hammers, Chisels & Punches",899924,,,899924
Electrical Distribution,899719,Safety Switches & Disconnects,899733,Fusible Disconnect Switches,899785,,,899785
Electrical Distribution,899719,Circuit Breakers,899732,Molded Case Breakers,899783,,,899783
"Wire Terminations, Connections & Grounding",899720,Heat & Cold Shrink,899821,Cold Shrink,899835,,,899835
Data & Communication,901107,Fiber Optic,901115,Fiber Patch Cords,901138,,,901138
Lighting,898795,Indoor Lighting,898798,Downlighting,898836,Surface Mount Downlight Fixtures,898841,898841
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,PVC Fittings,899866,,,899866
Tools & Equipment,899709,Hand Tools,899895,Hex Keys & T-Handles,899925,,,899925
Electrical Distribution,899719,Control & Automation,899736,Control Transformers,899768,,,899768
"Wire, Cords & Cables",899715,Data Communication & Low Voltage Cable,899726,"Alarms, Security & Control Cables",899937,,,899937
Tools & Equipment,899709,Hand Tools,899895,"Cable, Bolt & Tube Cutters",899916,,,899916
Lighting,898795,Indoor Lighting,898798,Track Lighting,898856,Track Sections,898858,898858
"Fittings, Hardware & Cable Management",899717,Conduit Fittings & Components,899857,"Locknuts, Bushings & Plugs",901182,,,901182
Lighting,898795,Lamps,898804,Incandescent Lamps,898880,Incandescent A-Line Lamps,898913,898913
Tools & Equipment,899709,Wire-Pulling Equipment,899894,,,,,899894
Tools & Equipment,899709,Ladders,899913,,,,,899913
Lighting,898795,Lamps,898804,LED Lamps,898877,LED MR11/MR16/GU10 Lamps,898890,898890
Lighting,898795,Lamps,898804,"Quartz, Halogen & Specialty Lamps",898881,"Quartz, Halogen & Specialty A-Line Lamps",898924,898924
"Wiring Devices, Boxes & Plates",899718,Plugs & Connectors,900006,Twist Lock Plugs,900010,,,900010
Electrical Distribution,899719,Fuses,899806,Fuse Holders & Blocks,899808,,,899808
Lighting,898795,Lamps,898804,LED Lamps,898877,LED HID Replacement Lamps,898887,898887
Underground Utility Products,901243,Underground Boxes and Accessories,901244,,,,,901244
