PRODUCT_ID,description,buy_line_id,price_line_id,keywords,product_family_id,product_family_description,COMMODITY_LEAF,class_distribution
259698,"LSI WMF24 BRONZE TYPE 7 EXTERIOR FIX 17"" WHITE SHADE",LSIWM,LSI,"W/18W 4PIN LAMP AND 17"" WHITE
SHADE
WEBREADY",,,898800,0.017%
259699,"LSI WMF24 SILVER TYPE 7 EXTERIOR FIX 17"" WHITE SHADE",LSIWM,LSI,"W/18W 4PIN LAMP AND 17"" WHITE
SHADE
WEBREADY",,,898800,0.017%
361955,LUT MA-PRO-WH 1P 3WY LTG DIMMER,LUTRON,LUTRON,WEBREADY,,,898803,0.009%
24718,LEV 124-D RUBBER MED LAMPHOLDER 25/BOX 100/CASE,LEVITON,LEVITON,"LEV124D LEV 078477 11759


STK LEVITON
WEBREADY",,,898807,0.009%
2227,LEV 13353-N SLIDE-ON FLUOR LAMPHLDR 10/BOX 100/CASE,LEVITON,LEVITON,"LEV13353N 13353-N 078477 08480
FLUOR LAM SLIDE-ON

STK LEVITON
WEBREADY",,,898808,0.154%
2535,LEV 13357-N LAMPHOLDER 10/BOX 100/CASE,LEVITON,LEVITON,"LEV13357N LEV 078477 85125 13357-N
FLR LMPH MEDBIPIN

STK LEVITON
WEBREADY",,,898808,0.154%
16867,LEV 13550-NW FLUOR LMPHLDR 1/BOX 10/CASE,LEVITON,LEVITON,"LEV13550NW LEVITON MF HO PLUNGER
SOCKET
New part # for 13550-W
STK LEVITON
WEBREADY",,,898808,0.154%
45533,LEV 23452-H HORZ LMP SUPP CLIP 1/BOX 5/CASE,LEVITON,LEVITON,"STK LEVITON
WEBREADY",,,898808,0.154%
104321,LEV 13551-NW FLUOR LAMPHOLDER 1/BOX 10/CASE,LEVITON,LEVITON,"HO FIXED


STK LEVITON
WEBREADY",,,898808,0.154%
148381,LEV 23654-SWP LAMPHOLDER 1/BOX 5/CASE,LEVITON,LEVITON,,,,898808,0.154%
160514,LEV 459 LAMPHOLDER BULK 1/BOX 100/CASE,NONRET,LEVITON,,,,898808,0.154%
188996,LEV 13654-TNP T-5 LAMPHOLDER 1/BOX 5/CASE,LEVITON,LEVITON,"INTERIOR
LH0017
WEBREADY",,,898808,0.154%
208879,LEV 13651-20 FLUOR LAMPHOLDER 5/BOX 20/CASE,LEVITON,LEVITON,,,,898808,0.154%
283166,LEV 458 LAMP HOLDER STATIONARY SOCKET,NONRET,LEVITON,,,,898808,0.154%
4945,LEV 13653-WP SNGL TUBE LMPHLDR 1/BOX 5/CASE,LEVITON,LEVITON,"LEV13653WP 13653-WP 078477 13968
LMPHLDR SNGL TUBE

STK LEVITON",,,898808,0.154%
2270,LEV 2536 SGL PIN PLNGR FLUORLMPHLDR 10/BOX 100/CASE,LEVITON,LEVITON,"INTERIOR
LEV2536 LEV 078477 55432
STK LEVITON
WEBREADY
PLUNGER",,,898808,0.154%
2273,LEV 2537 SGL PIN FIXED FLUORLMPHLDR 10/BOX 100/CASE,LEVITON,LEVITON,"INTERIOR
LEV2537 LEV 078477 77527
STK LEVITON
WEBREADY
FIXED",,,898808,0.154%
17265,LEV 13557-W VERT FLR LMPHLDR 1/BOX 10/CASE,LEVITON,LEVITON,"INTERIOR
LEV13557W 13557-W 078477 06093 FLR
LMPHLDR VERT
WEBREADY",,,898808,0.154%
