description,COMMODITY_LEAF_PREDICTED
APP STG-125 1-1/4 O-RING ASSEMBLY 25/PK 50/CS,899873
LEV CS320-2E 3W 20A 120/277VAC SW 10/BOX 100/CASE,899985
C-H 1MM412RRL MTR MOD 125A NM3R,900020
EDW 690-W LO VOLT PUSHBUTTON PUSH BUTTON 5/BX,899752
EASY SR52J DEICING CABLE 1/BX,899927
EDW 694-B LO VOLT PUSHBUTTON PUSH BUTTON 5/BX,899752
"UNIS TL20F12PG24 2"" X 24'L SQUARE PERF TUBING 12 GA PREGALVANIZED 25/BUNDLE",899752
APP STG-150 1-1/2 O-RING ASSEMBLY CS/10,899873
MLY SRASM SURFACE MOUNTING SLEEVE HEATER MOUNTING SLEEVE 1/BX,899752
STI FS200 2IN FIRESTOP SLEEVE 6/BX,899752
PVC 2-IN-PVC-SCHED-80 CONDUIT 1400/LFT   **YARD**,899866
CONDUIT 2-1/2IN GALV STEEL 370/LFT   **YARD**,899877
GE 60A/Y-2PK-120 INCAND LAMP 24/CASE   97495 DELISTED 3/1/20 NO REPLACEMENT,898899
CONDUIT 1/2IN EMT 100/BNDL 7000/LFT   **YARD**,899867
 CONDUIT 3/4IN EMT 100/BNDL 5000/LFT   **YARD**,899867
CONDUIT 5IN GALV STEEL 150/LFT   **YARD**,899877
 CONDUIT 1IN EMT  100/BNDL 3000/LFT   **YARD**,899867
 CONDUIT 1-1/4IN EMT 50/BNDL 2000/LFT   **YARD**,899867
 CONDUIT 1-1/2IN EMT  50/BNDL 1500/LFT   **YARD**,899867
PVC 2X3 INT VERT-LOK SPCR IS3545 29552 5336032 S289JLN 150/BX,899866
APP STG-200 2-IN O-RING ASSEMBLY CS/10,899873
 CONDUIT 2IN EMT  1200/LFT   **YARD**,899867
IDEAL 30-274 YEL TW WR NUT-500BAG 500/BX 5000/CS,899838
T&B 54145-TB 2AWG BRN 1H COP LUG 25/BX 250/CS,899830
WIRE THHN-250-BLU-37STR-CU-1000MSTR,899956
 CONDUIT 2-1/2IN EMT  610/LFT   **YARD**,899867
 CONDUIT 3IN EMT  510/LFT   **YARD**,899867
PVC 3/4-PVC-SCHED-80 CONDUIT 4400/LFT   **YARD**,899866
CONDUIT 1-IN-UA/LA-GRAY LIQ-TI 1 X 100'C LA-13 GRY 6204-30-00,899877
 CONDUIT 3-1/2IN EMT  370/LFT   **YARD**,899867
WM V4010DFO FIBERREADY ENTR E FTG 1/PK 5/BX,899971
PVC 4IN 22.5D STD ELBOW EE4022 78585 5133757 UA5AN 80/BX  **YARD**,899866
 CONDUIT 4IN EMT  300/LFT   **YARD**,899867
CONDUIT 3IN GALV STEEL 300/LFT   **YARD**,899863
PVC 4IN 30D STD ELBOW EE5530 68629 5133775 UA6AN 12/BX,899866
PVC 1/2-PVC-SCHED-40 CONDUIT 100/BNDL 6000/LFT   **YARD**,899866
PVC 4IN 45D STD ELBOW EE5545 68609 5133772 UA7AN  **YARD**,899866
C-H DH365NRK 400A 600V 4SN SW NEMA3 3R HEAVY DUTY SWITCH. W/ NEUTRAL.,899785
PVC 3/4-PVC-SCHED-40 CONDUIT 100/BNDL 4400/LFT   **YARD**,899866
FTG SC-100 F693 1-IN D/C SQZ FLEX CONN 10/BX 100/CS,899869
PVC 1-IN-PVC-SCHED-40 CONDUIT 50/BNDL 3600/LFT   **YARD**,899866
PVC 1-1/4-PVC-SCHED-40 CONDUIT 50/BNDL 3300/LFT   **YARD**,899866
PVC 1-1/2-PVC-SCHED-40 CONDUIT 50/BNDL 2250/LFT   **YARD**,899866
CONDUIT 3-1/2IN GALV STEEL 250/LFT   **YARD**,899877
PVC 2-IN-PVC-SCHED-40 CONDUIT  1400/LFT   **YARD**,899866
MADISON MSB4G 4G DEVICE BOX,899756
PVC 2-1/2-PVC-SCHED-80 CONDUIT 930/LFT   **YARD**,899866
PVC 2-1/2-PVC-SCHED-40 CONDUIT 930/LFT   **YARD**,899866
 CONDUIT 1/2-EF-GRAY LIQ-TITE   1 X 1000MSTR EF-11 GRY 6102-60-00,899752
PVC 3-IN-PVC-SCHED-40 CONDUIT 880/LFT  **YARD**,899866
CONDUIT 4IN GALV STEEL 200/LFT   **YARD**,899877
APP RB300-250 3X2-1/2 RED BUSH CS/5,899873
"EPCO 40031 BLK 6FT 30AMP DRYER CRD AIW A5434006BL 3093 ~/BX, 16/CS",899752
CPP 3/4 X 4 COND NIP GAL 25/BX 25020708,899752
PVC 1IN PVC 2H PIPE STRAP PS20 77813 5133738 E977FC 200/BX,899866
ALLIED 2302-NK 2G SW BOX W/NAILS 48/BX,899755
APP STG-350 3-1/2 O-RING ASSEMBLY CS/5,899873
LUT C-1500-BE 1500W INCAD DIMMR,898872
ARL 3838AST 3/8 DPLX FLEX CBL CONN 25/BX 100/CS,899865
GRIPPLE HF2-LG-15FT LOOP HANGER   UP TO 100 LBS.MAX (10 PIECES = 1 BAG),899915
FTG CNN-800 F1558 3-IN D/C COND NIPPLE 10/BX 50/CS,899864
WIRE NM-B-8/3-CU-WG-2500MSTR,899956
APP STG-250 2-1/2 O-RING ASSEMBLY CS/10,899873
